PID,Speed,MPE,Correct,RT,Effective_Duration_s
1,15.0,8,1,1.1719,0.6656
1,1.5,8,1,0.9486,1.8036
1,1.5,8,1,0.8641,1.8066
1,15.0,4,1,1.3171,0.6653
1,15.0,2,0,1.1368,0.6559
1,5.0,8,1,0.8843,1.8086
1,1.5,8,1,1.1868,1.8072
1,1.5,2,0,0.9773,1.8156
1,0.0,2,1,0.8293,1.8007
1,0.0,2,0,0.8702,1.802
1,0.0,2,1,0.9418,1.8057
1,5.0,8,1,0.4761,1.8019
2,1.5,4,0,0.6803,1.7993
2,15.0,2,0,1.1531,0.6584
2,15.0,2,1,0.8766,0.6609
2,15.0,8,1,1.3927,0.6613
2,1.5,4,1,0.8444,1.7973
2,1.5,4,0,1.107,1.8052
2,0.0,2,0,1.0098,1.8077
2,0.0,4,1,0.8235,1.8016
2,0.0,4,1,0.9727,1.7995
2,1.5,8,1,0.9573,1.8053
2,15.0,4,1,1.4098,0.668
2,15.0,8,1,1.2153,0.6622
2,15.0,2,1,1.3916,0.6604
2,1.5,2,0,1.2113,1.8019
2,1.5,8,1,0.8545,1.8051
2,15.0,2,1,0.9427,0.6686
2,1.5,4,0,0.732,1.8064
2,15.0,8,1,1.2021,0.655
2,0.0,2,1,0.8795,1.8066
2,0.0,4,1,0.9826,1.8011
2,5.0,2,1,0.5661,1.8071
2,5.0,4,1,0.7877,1.804
2,0.0,4,1,0.9108,1.8061
2,5.0,8,1,0.6142,1.804
2,0.0,2,1,0.7475,1.8109
2,5.0,2,0,0.5615,1.8022
2,0.0,8,1,0.9563,1.8074
2,0.0,2,1,0.7726,1.7998
2,1.5,4,1,0.8141,1.8084
2,0.0,4,1,0.7724,1.8047
2,1.5,2,0,1.0343,1.8059
2,15.0,2,0,1.258,0.6556
2,0.0,8,1,0.7898,1.8037
2,0.0,4,1,0.9015,1.8029
2,1.5,2,0,0.7454,1.8039
2,5.0,2,1,1.0428,1.806
2,1.5,2,1,0.8322,1.7967
2,15.0,8,1,0.941,0.6522
2,15.0,4,1,1.2938,0.665
2,0.0,4,1,0.7581,1.8028
2,5.0,2,1,0.7519,1.8002
2,0.0,8,1,0.8457,1.805
2,15.0,8,1,1.3007,0.6639
2,0.0,8,1,1.0466,1.806
2,0.0,4,1,0.8804,1.7995
2,5.0,2,0,0.8191,1.8063
2,15.0,4,0,1.358,0.654
2,15.0,8,0,1.2299,0.6587
2,5.0,2,1,0.8712,1.7973
2,5.0,2,0,0.5528,1.801
2,15.0,2,1,1.643,0.6605
2,5.0,4,1,0.9716,1.8047
2,5.0,2,0,0.8044,1.7989
2,15.0,4,0,1.1914,0.6587
2,5.0,8,1,0.7433,1.801
2,15.0,8,1,1.2118,0.6705
2,0.0,8,1,0.9066,1.8036
2,1.5,2,1,1.0261,1.802
2,1.5,4,1,1.031,1.8003
2,15.0,2,0,1.1073,0.6695
2,0.0,2,1,0.5862,1.8027
2,1.5,2,1,0.7686,1.8041
2,0.0,4,1,0.6041,1.8054
2,0.0,2,1,0.9239,1.7993
2,0.0,2,0,0.9524,1.807
2,1.5,4,0,1.013,1.8041
2,0.0,4,1,0.9386,1.8073
2,5.0,2,1,0.7837,1.8034
2,1.5,2,1,1.0535,1.8007
2,1.5,8,1,0.9415,1.802
2,15.0,2,1,0.9621,0.6613
2,15.0,4,0,1.4944,0.6602
2,15.0,8,1,1.1561,0.6545
2,1.5,2,1,0.7498,1.8032
2,0.0,8,1,0.8919,1.8045
2,1.5,4,1,0.7131,1.8026
2,1.5,4,1,0.9353,1.8029
2,0.0,2,0,0.8179,1.8109
2,0.0,2,0,0.7956,1.799
2,15.0,4,0,1.0289,0.6634
2,15.0,2,0,1.3672,0.6644
2,1.5,8,1,1.0271,1.8077
2,0.0,2,1,0.8925,1.8042
2,15.0,8,1,1.1166,0.6634
2,1.5,8,1,0.8804,1.8009
2,5.0,8,1,0.107,1.8019
2,1.5,4,1,0.138,1.8032
2,0.0,4,1,0.7526,1.8054
2,1.5,4,1,1.2003,1.8072
2,1.5,8,1,0.8611,1.8077
2,15.0,8,1,0.7702,0.6624
2,0.0,4,1,0.7766,1.8071
2,15.0,4,1,0.9993,0.6624
2,1.5,4,1,0.8563,1.8056
2,15.0,2,1,1.2499,0.6734
2,5.0,2,0,0.638,1.8058
2,15.0,2,1,1.3226,0.658
2,0.0,8,1,0.8635,1.8059
2,5.0,2,1,0.6779,1.8089
2,5.0,8,0,0.712,1.8042
2,5.0,8,1,0.6415,1.8079
2,5.0,8,1,0.7381,1.8057
2,0.0,2,0,0.8379,1.8068
2,5.0,4,1,0.6536,1.8089
2,0.0,4,1,0.8543,1.8078
2,5.0,4,1,0.816,1.8011
2,5.0,4,1,0.8879,1.8031
2,5.0,2,1,0.6759,1.8068
2,15.0,4,1,1.1869,0.658
